Reel_ID,Date_Posted,Country,Views,Likes,Comments,Saves,Shares,Caption,Hashtags,Topic,Post_Time,Duration_sec,Engagement_Rate
R062,13-02-2024,India,67312,6874,948,390,611,This is a reel about fashion.,#trend #ootd #fashion,Fashion,Night,15,0.131
R063,26-02-2024,China,94353,15937,1303,1444,1321,This is a reel about sports.,#goal #sports #win,Sports,Afternoon,30,0.212
R064,09-04-2024,China,25620,1896,182,143,174,This is a reel about motivation.,#motivation #success #goals,Motivation,Afternoon,90,0.093
R065,29-05-2024,USA,91025,6735,534,435,467,This is a reel about comedy.,#joke #funny #laugh,Comedy,Evening,30,0.09
R066,16-01-2024,India,35489,3667,265,244,297,This is a reel about relationships.,#together #romance #couple,Relationships,Morning,60,0.126
R067,06-02-2024,Kenya,13230,2048,235,165,142,This is a reel about relationships.,#love #romance #couple,Relationships,Night,60,0.196
R068,29-04-2024,Thailand,8061,1132,134,64,82,This is a reel about relationships.,#together #relationshipgoals #romance,Relationships,Morning,60,0.175
R069,17-05-2024,Malaysia,95894,9926,1240,769,627,This is a reel about relationships.,#couple #relationshipgoals #together,Relationships,Afternoon,30,0.131
R070,01-02-2024,Japan,99963,10668,838,919,1008,This is a reel about comedy.,#comedy #meme #funny,Comedy,Night,60,0.134
R071,12-04-2024,U.S. Virgin Islands,4464,488,60,24,32,This is a reel about technology.,#innovation #gadgets #coding,Technology,Night,30,0.135
R072,23-03-2024,Colombia,1359,138,7,8,7,This is a reel about food.,#delicious #homemade #yum,Food,Evening,90,0.118
R073,13-01-2024,USA,56051,7190,728,681,539,This is a reel about food.,#delicious #foodporn #homemade,Food,Afternoon,15,0.163
R074,21-04-2024,India,22176,3005,195,188,285,This is a reel about fashion.,#fashion #lookbook #ootd,Fashion,Afternoon,60,0.166
R075,21-01-2024,China,57636,7473,890,698,550,This is a reel about food.,#homemade #foodporn #delicious,Food,Evening,90,0.167
R076,28-04-2024,China,22235,1925,187,120,164,This is a reel about sports.,#sports #win #game,Sports,Night,15,0.108
R077,06-01-2024,USA,47976,8558,1171,757,467,This is a reel about comedy.,#laugh #meme #funny,Comedy,Afternoon,60,0.228
R078,08-03-2024,India,90476,11706,1251,1141,881,This is a reel about fitness.,#gym #workout #fitness,Fitness,Evening,90,0.166
R079,29-05-2024,Kenya,24928,2899,215,170,205,This is a reel about comedy.,#comedy #funny #meme,Comedy,Morning,15,0.14
R080,03-05-2024,Thailand,6230,966,62,69,62,This is a reel about relationships.,#couple #romance #love,Relationships,Morning,15,0.186
R081,31-01-2024,Malaysia,79616,5177,581,363,436,This is a reel about travel.,#travel #wanderlust #nature,Travel,Morning,60,0.082
R082,29-04-2024,Japan,28056,2431,276,195,220,This is a reel about sports.,#goal #sports #win,Sports,Morning,90,0.111
R083,05-05-2024,U.S. Virgin Islands,59649,5373,327,322,335,This is a reel about comedy.,#laugh #comedy #funny,Comedy,Afternoon,30,0.107
R084,28-04-2024,Colombia,6401,802,66,41,45,This is a reel about travel.,#wanderlust #travel #explore,Travel,Morning,60,0.149
R085,13-03-2024,USA,84289,12708,920,839,1029,This is a reel about education.,#school #knowledge #learn,Education,Morning,30,0.184
R086,16-03-2024,India,34350,5107,591,274,290,This is a reel about motivation.,#motivation #goals #inspiration,Motivation,Night,30,0.182
R087,14-05-2024,China,44771,6810,420,398,366,This is a reel about food.,#foodie #yum #homemade,Food,Evening,90,0.179
R088,02-03-2024,China,94402,14687,1215,1299,1236,This is a reel about motivation.,#inspiration #grind #success,Motivation,Evening,60,0.195
R089,09-05-2024,USA,16272,2436,155,236,140,This is a reel about education.,#study #school #student,Education,Afternoon,30,0.182
R090,16-04-2024,India,2454,360,20,31,19,This is a reel about technology.,#gadgets #tech #future,Technology,Evening,90,0.175
R091,11-02-2024,Kenya,12346,755,74,51,50,This is a reel about technology.,#innovation #coding #tech,Technology,Morning,90,0.075
R092,07-04-2024,Thailand,99720,12895,897,929,791,This is a reel about fitness.,#gym #health #workout,Fitness,Evening,15,0.156
R093,04-04-2024,Malaysia,40261,7437,933,739,500,This is a reel about comedy.,#funny #laugh #comedy,Comedy,Night,60,0.239
R094,16-01-2024,Japan,44149,4637,377,331,278,This is a reel about education.,#knowledge #learn #student,Education,Night,60,0.127
R095,05-01-2024,U.S. Virgin Islands,84148,8788,1108,633,592,This is a reel about motivation.,#motivation #inspiration #goals,Motivation,Afternoon,15,0.132
R096,15-01-2024,Colombia,67181,10608,1402,1030,556,This is a reel about food.,#delicious #homemade #foodporn,Food,Morning,60,0.202
R097,01-01-2024,USA,17078,991,126,93,67,This is a reel about education.,#student #study #knowledge,Education,Night,15,0.075
R098,10-02-2024,India,73470,5926,401,576,360,This is a reel about education.,#school #knowledge #study,Education,Evening,30,0.099
R099,28-01-2024,China,70137,9629,562,850,481,This is a reel about motivation.,#success #goals #motivation,Motivation,Morning,90,0.164
R100,16-05-2024,China,71908,4758,618,312,278,This is a reel about motivation.,#success #motivation #grind,Motivation,Afternoon,60,0.083
